ds,yhat,yhat_lower,yhat_upper
2021-01-01,926762.2944092485,790973.7948430332,1066207.6835422562
2022-01-01,890518.0009322953,748692.5125817553,1032485.2449429755
2023-01-01,852218.4011703851,710375.6385545091,991401.540585227
2024-01-01,811875.8586408463,670907.2076874895,951319.2840627426
2024-12-31,769505.965744854,624227.9884918125,913481.2127472674
2025-12-31,725127.5249424651,590870.7393339288,870250.0469530807
2026-12-31,678762.5188498135,536262.8137293366,826100.3518920473
